CVE_ID,Descripcion,CVSS_Score,Vector_Ataque,Severidad,CWE,Software,Fecha_Publicacion,Fecha_Ultima_Modificacion,Dias_Desde_Publicacion
CVE-1999-0095,"The debug command in Sendmail is enabled, allowing attackers to execute commands as root.",10,NETWORK,Crítica,Sin clasificar,Eric allman Sendmail,1988-10-01,2026-06-16,13773
CVE-1999-0082,CWD ~root command in ftpd allows root access.,10,NETWORK,Crítica,Sin clasificar,Ftp Ftp,1988-11-11,2026-06-16,13732
CVE-1999-1471,Buffer overflow in passwd in BSD based operating systems 4.3 and earlier allows local users to gain root privileges by specifying a long shell or GECOS field.,7.2,LOCAL,Alta,Sin clasificar,Bsd Bsd,1989-01-01,2026-06-16,13681
CVE-1999-1122,Vulnerability in restore in SunOS 4.0.3 and earlier allows local users to gain privileges.,4.6,LOCAL,Media,Sin clasificar,Sun Sunos,1989-07-26,2026-06-16,13475
CVE-1999-1467,"Vulnerability in rcp on SunOS 4.0.x allows remote attackers from trusted hosts to execute arbitrary commands as root, possibly related to the configuration of the nobody user.",10,NETWORK,Crítica,Sin clasificar,Sun Sunos,1989-10-26,2026-06-16,13383
CVE-1999-1506,"Vulnerability in SMI Sendmail 4.0 and earlier, on SunOS up to 4.0.3, allows remote attackers to access user bin.",7.5,NETWORK,Alta,Sin clasificar,Sun Sunos,1990-01-29,2026-06-16,13288
CVE-1999-0084,Certain NFS servers allow users to use mknod to gain privileges by creating a writable kmem device and setting the UID to 0.,8.4,LOCAL,Alta,CWE-269,Sun Nfs,1990-05-01,2026-06-16,13196
CVE-2000-0388,Buffer overflow in FreeBSD libmytinfo library allows local users to execute commands via a long TERMCAP environmental variable.,7.5,NETWORK,Alta,Sin clasificar,Freebsd Freebsd,1990-05-09,2026-06-16,13188
CVE-1999-0209,The SunView (SunTools) selection_svc facility allows remote users to read files.,5,NETWORK,Media,Sin clasificar,Sun Sunos,1990-08-14,2026-06-16,13091
CVE-1999-1198,"BuildDisk program on NeXT systems before 2.0 does not prompt users for the root password, which allows local users to gain root privileges.",7.2,LOCAL,Alta,Sin clasificar,Next Next,1990-10-03,2026-06-16,13041
CVE-1999-1391,Vulnerability in NeXT 1.0a and 1.0 with publicly accessible printers allows local users to gain privileges via a combination of the npd program and weak directory permissions.,7.2,LOCAL,Alta,Sin clasificar,Next Next,1990-10-03,2026-06-16,13041
CVE-1999-1392,Vulnerability in restore0.9 installation script in NeXT 1.0a and 1.0 allows local users to gain root privileges.,7.2,LOCAL,Alta,Sin clasificar,Next Nex,1990-10-03,2026-06-16,13041
CVE-1999-1057,VMS 4.0 through 5.3 allows local users to gain privileges via the ANALYZE/PROCESS_DUMP dcl command.,4.6,LOCAL,Media,Sin clasificar,Digital Vms,1990-10-25,2026-06-16,13019
CVE-1999-1554,"/usr/sbin/Mail on SGI IRIX 3.3 and 3.3.1 does not properly set the group ID to the group ID of the user who started Mail, which allows local users to read the mail of other users.",2.1,LOCAL,Baja,Sin clasificar,Sgi Irix,1990-10-31,2026-06-16,13013
CVE-1999-1197,"TIOCCONS in SunOS 4.1.1 does not properly check the permissions of a user who tries to redirect console output and input, which could allow a local user to gain privileges.",7.2,LOCAL,Alta,Sin clasificar,Sun Sunos,1990-12-20,2026-06-16,12963
CVE-1999-1115,"Vulnerability in the /etc/suid_exec program in HP Apollo Domain/OS sr10.2 and sr10.3 beta, related to the Korn Shell (ksh).",7.2,LOCAL,Alta,Sin clasificar,Hp Apollo domain os,1990-12-31,2026-06-16,12952
CVE-1999-1258,"rpc.pwdauthd in SunOS 4.1.1 and earlier does not properly prevent remote access to the daemon, which allows remote attackers to obtain sensitive system information.",5,NETWORK,Media,Sin clasificar,Sun Sunos,1991-01-15,2026-06-16,12937
CVE-1999-1438,Vulnerability in /bin/mail in SunOS 4.1.1 and earlier allows local users to gain root privileges via certain command line arguments.,7.2,LOCAL,Alta,Sin clasificar,Sun Sunos,1991-02-22,2026-06-16,12899
CVE-1999-1211,Vulnerability in in.telnetd in SunOS 4.1.1 and earlier allows local users to gain root privileges.,7.2,LOCAL,Alta,Sin clasificar,Sun Sunos,1991-03-27,2026-06-16,12866
CVE-1999-1212,Vulnerability in in.rlogind in SunOS 4.0.3 and 4.0.3c allows local users to gain root privileges.,7.2,LOCAL,Alta,Sin clasificar,Sun Sunos,1991-03-27,2026-06-16,12866
CVE-1999-1194,"chroot in Digital Ultrix 4.1 and 4.0 is insecurely installed, which allows local users to gain privileges.",7.2,LOCAL,Alta,Sin clasificar,Digital Ultrix,1991-05-01,2026-06-16,12831
CVE-1999-1193,"The ""me"" user in NeXT NeXTstep 2.1 and earlier has wheel group privileges, which could allow the me user to use the su command to become root.",10,NETWORK,Crítica,Sin clasificar,Next Next,1991-05-14,2026-06-16,12818
CVE-1999-1123,The installation of Sun Source (sunsrc) tapes allows local users to gain root privileges via setuid root programs (1) makeinstall or (2) winstall.,7.2,LOCAL,Alta,Sin clasificar,Sun Sunos,1991-05-20,2026-06-16,12812
CVE-1999-1034,Vulnerability in login in AT&T System V Release 4 allows local users to gain privileges.,7.2,LOCAL,Alta,Sin clasificar,Att Svr4,1991-05-23,2026-06-16,12809
CVE-1999-1415,Vulnerability in /usr/bin/mail in DEC ULTRIX before 4.2 allows local users to gain privileges.,4.6,LOCAL,Media,Sin clasificar,Digital Ultrix,1991-08-23,2026-06-16,12717
